       1       1    8.76
       1       1   24.26
       1       1   13.38
       1       1   25.30
       1       1   16.62
       1       1   16.19
       1       1   17.25
       1       1   19.67
       1       1   19.08
       1       1   18.49
       1       2   18.51
       1       2   26.09
       1       2   14.41
       1       2   19.90
       1       2   18.28
       1       2   16.83
       1       2   19.79
       1       2   13.65
       1       2   15.06
       1       2   16.48
       1       3   18.54
       1       3   12.49
       1       3   23.81
       1       3   15.36
       1       3   21.79
       1       3   12.82
       1       3   16.47
       1       3    9.10
       1       3   11.24
       1       3   13.37
       2       1   14.05
       2       1   18.47
       2       1   15.47
       2       1   10.26
       2       1   19.45
       2       1   10.75
       2       1   19.42
       2       1   13.11
       2       1   13.71
       2       1   14.30
       2       2   23.13
       2       2   14.76
       2       2   20.09
       2       2    4.63
       2       2   17.15
       2       2    6.97
       2       2   16.87
       2       2    8.50
       2       2   10.13
       2       2   11.77
       2       3    4.58
       2       3    2.29
       2       3   14.49
       2       3    4.94
       2       3    8.73
       2       3   10.17
       2       3   11.07
       2       3   11.02
       2       3   10.25
       2       3    9.47
