       1       1       1      77
       1       1       2       4
       1       1       3       0
       1       1       4      26
       1       1       5       5
       1       2       1     205
       1       2       2      35
       1       2       3       7
       1       2       4      38
       1       2       5      21
       1       3       1     131
       1       3       2      30
       1       3       3       5
       1       3       4       9
       1       3       5      33
       1       4       1      73
       1       4       2      22
       1       4       3       6
       1       4       4       7
       1       4       5      18
       2       1       1      25
       2       1       2      29
       2       1       3       3
       2       1       4       1
       2       1       5       2
       2       2       1      32
       2       2       2      36
       2       2       3      14
       2       2       4       2
       2       2       5       3
       2       3       1      14
       2       3       2      30
       2       3       3       9
       2       3       4       2
       2       3       5       3
       2       4       1       2
       2       4       2      14
       2       4       3      13
       2       4       4       0
       2       4       5       0
